y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15
0.458557020721949,0.261799387799149,0.06853891945201,0.017943447152951,0.004697583479649,0.001229824479108,0.000321967295731,8.42908409136595E-05,2.20672905482715E-05,5.77720315592345E-06,1.51246824941207E-06,3.95963261761732E-07,1.03662939520176E-07,2.71388941038422E-08,7.10494586193185E-09,1.86007047699986E-09
0.370323060617736,0.266162710929135,0.070842588689146,0.018855655454741,0.00501867237218,0.001335783443844,0.000355535742628,9.46303570900452E-05,2.51870723792786E-05,6.70385946483713E-06,1.78431740884899E-06,4.74918758697298E-07,1.26405664285973E-07,3.36444742831526E-08,8.95490448298948E-09,2.38346165330395E-09
0.035428332261567,0.270526034059121,0.073184335103757,0.019798267930873,0.005355946904579,0.001448923074727,0.000391971413063,0.00010603847184,2.86861672446689E-05,7.76035505705695E-06,2.09937807647626E-06,5.67936425019789E-07,1.53641588658319E-07,4.15640496462779E-08,1.1244157510244E-08,3.04183733758238E-09
0.270182872375796,0.274889357189107,0.07556415869584,0.020771783010435,0.00570994207941,0.001569602307796,0.000431466969433,0.000118605677876,3.26034385502187E-05,8.96233826522417E-06,2.46365140463881E-06,6.77231550959202E-07,1.86163745711357E-07,5.11744323905113E-08,1.40673068243451E-08,3.86695293032615E-09
0.368837751900571,0.279252680319093,0.077982059465397,0.021776699122515,0.006081201598465,0.001698191845932,0.000474224624673,0.000132428497513,3.69810128811705E-05,1.03270469679818E-05,2.88385554559007E-06,8.05324390759106E-07,2.24888994645821E-07,6.28008545291116E-08,1.75373069535838E-08,4.89733997236695E-09
0.171816179923158,0.283616003449079,0.080438037412428,0.0228135146962,0.006470277862763,0.001835074348642,0.000520456452794,0.000147609779111,4.18644956213626E-05,1.18734409345423E-05,3.36749786504358E-06,9.55076286106964E-07,2.70874919254646E-07,7.68244620335945E-08,2.17886468890935E-08,6.17960895124791E-09
0.323842082557741,0.287979326579064,0.082932092536932,0.023882728160578,0.006877731972554,0.001980644621847,0.000570384704392,0.000164259003062,4.73031970862937E-05,1.36223428419476E-05,3.92295311805321E-06,1.12972939713821E-06,3.25338711004433E-07,9.36908229051574E-08,2.69810200868656E-08,7.76997599503177E-09
0.304478546991335,0.29234264970905,0.085464224838908,0.024984837944737,0.007304133727315,0.002135309807673,0.000624242127125,0.000182492597504,5.33503695065077E-05,1.55965883844894E-05,4.55954797474301E-06,1.33295033641191E-06,3.89678233277226E-07,1.13919567250206E-07,3.33035481436335E-08,9.73604750902273E-09
0.293015419362842,0.296705972839036,0.088034434318359,0.026120342477763,0.007750061625753,0.002299489574232,0.000682272291156,0.000202434263888,6.00634552029759E-05,1.78211859080728E-05,5.28765230200007E-06,1.5688780202995E-06,4.65495479278744E-07,1.38115289031573E-07,4.09796311960575E-08,1.21589013406112E-08
0.27035154338663,0.301069295969022,0.090642720975283,0.027289740188745,0.008216102865803,0.002473616305416,0.000744729919569,0.000224215312572,6.75043463014548E-05,2.0323486015828E-05,6.11877762642161E-06,1.84217607217776E-06,5.54622653101535E-07,1.6697985169775E-07,5.02725063916533E-08,1.51355081059332E-08
0.365659727997313,0.305432619099008,0.09328908480968,0.02849352950677,0.008702853344628,0.002658135290684,0.000811881223753,0.000247975008568,7.57396563380954E-05,2.31333616050032E-05,7.06568322358056E-06,2.15809013270213E-06,6.59151121482936E-07,2.01326253416581E-07,6.1491604874417E-08,1.87815419293945E-08
0.485319905099843,0.309795942228993,0.09597352582155,0.029732208860926,0.00921091765862,0.002853504914846,0.00088400424375,0.000273860927627,8.48410041138722E-05,2.6283398809111E-05,8.14249029904893E-06,2.5225104542843E-06,7.81463502967492E-07,2.42094222219384E-07,7.49998076806494E-08,2.32346360874201E-08
0.164257143797433,0.314159265358979,0.098696044010894,0.0310062766803,0.0097409091034,0.003060196847853,0.000961389193575,0.000302029322778,9.48853101607057E-05,2.98090993334462E-05,9.3648047476083E-06,2.9420401797389E-06,9.24269181523374E-07,2.90367727061328E-07,9.12217118175435E-08,2.8658145969388E-08
0.467404918181155,0.318522588488965,0.101456639377711,0.03231623139398,0.010293449673819,0.003278696234586,0.001044338811509,0.000332645501501,0.000105955106187,3.37490946864468E-05,1.07498489986862E-05,3.42406972892705E-06,1.09064355322455E-06,3.47394607691887E-07,1.10653029669128E-07,3.5245489434357E-08
0.351599175923791,0.322885911618951,0.104255311922001,0.033662571431053,0.010869170063954,0.003509501884641,0.001133168715351,0.000365884213674,0.000118138857879,3.81453728239303E-05,1.23166034782995E-05,3.97685774213988E-06,1.28407133744972E-06,4.14608544376218E-07,1.33871257815921E-07,4.32251431194694E-08
